ORF	Name	R2.Ratio	R3.Ratio	R4.Ratio	R5.Ratio	R6.Ratio	R7.Ratio
YGL123W	SUP44	1.11	1.35	.93	.85	.35	.24	
YGL124C		1.02	1.14	.93	.85	1.18	.79	
YGL125W		1.1	1.15	.93	.89	1.27	1.14	
YGL126W	SCS3	.85	.88	.89	.9	1.09	.99	
YGL127C	SOH1	.88	.75	.75	.78	.8	.69	
YGL128C		.85	.62	.6	.6	.83	.47	
YGL129C		.71	1.08	.9	.78	1.72	1.28	
YGL130W	CEG1	.62	1.23	1.06	.95	1.61	.82	
YGL131C		1.18	1.43	1.19	1.03	1.69	1.45	
YGL132W		.78	1.15	.82	1.08	1.35	.94	
YGL133W		1.16	1.14	1.05	.74	1.04	1.08	
YGL134W		.68	1.32	.93	.63	1.61	1.33	
YGL135W	SSM1B	1.32	1.64	1.08	.89	.41	.25	
YGL136C		.93	1.23	.98	.78	.94	.65	
YGL137W	SEC27	1.41	1.45	1.19	1	.91	.58	
YGL138C		.62	.76	.54	.53	1.64	.92	
YGL139W		1.2	1.35	.82	.67	.82	.95	
YGL140C		.87	1.09	1.02	.82	.93	.85	
YGL141W		.96	.93	.81	.76	.79	.79	
YGL142C		1.04	1.39	1.12	1.05	1.56	1	
YGL143C	MRF1	.85	1.35	.89	.94	1.56	1.49	
YGL144C		.76	.95	.75	.52	1.27	.44	
YGL145W	TIP20	1.1	1.37	1	.9	1.39	1.89	
YGL146C		.64	.97	1.06	.78	1.69	1.64	
YGL147C	RPL9A	1.37	1.54	1.06	.97	.47	.26	
YGL148W	ARO2	1.2	1.22	.88	.74	.81	.41	
YGL149W		.87	.95	.91	.83	.95	.9	
YGL150C		.86	.93	.89	.82	.79	.57	
YGL151W		.92	.85	.74	.78	.69	.68	
YGL152C		.75	1.16	.9	.79	1.82	1.2	
YGL153W		.95	1.16	.98	.79	2.13	2.94	
YGL154C	LYS5	.72	1.08	.7	.63	1.25	.76	
YGL155W	CDC43	1.1	1.16	.81	.78	.94	.74	
YGL156W	AMS1	1.09	1.22	.87	.85	1.59	1.41	
YGL157W		1.1	1.15	.74	.61	.66	.56	
YGL158W	RCK1	.7	1.25	.92	.56	1.92	2.08	
YGL159W		1.05	1.35	.96	.63	1.47	1.41	
YGL160W		.68	1.12	.98	.64	1.67	1.3	
YGL161C		1.22	1.41	1.1	.95	1.72	1.05	
YGL162W	SUT1	.7	1.03	.57	.61	1.47	1.06	
YGL163C	RAD54	1.15	1.18	.8	.8	1.32	1.32	
YGL164C		.93	1.12	.89	.72	1.85	.96	
YGL165C		.91	1.04	.74	.93	1.23	1.09	
YGL166W	ACE1	.81	1.15	.85	.82	1.52	.85	
YGL167C	PMR1	1.33	1.3	.85	.86	.7	.87	
YGL168W		.93	1.11	.9	.85	1.05	.75	
YGL169W	SUA5	1.16	1.27	.58	.58	.94	.67	
YGL170C		.63	.99	.73	.83	1.67	1.15	
YGL171W	ROK1	1.02	1.43	.57	.66	.76	.58	
YGL172W	NUP49	.88	1.2	.98	.66	1.61	1.1	
YGL173C	KEM1	1.14	.96	.81	.91	.67	.75	
YGL174W		.68	1.14	.91	.85	1.52	.78	
YGL175C	SAE2	.8	1.04	.78	.83	1.3	1.32	
YGL176C		.82	.71	.59	.64	1.32	1.06	
YGL177W		1.49	.92	.79	.71	.97	1.22	
YGL178W	MPT5	.99	.95	.68	.64	1.02	1.39	
YGL179C		.94	1.49	.93	.76	1.11	.93	
YGL180W		.92	.96	.84	.69	1.67	1.82	
YGL181W	GTS1	.91	1.18	.85	.71	1.3	1.15	
YGL182C		.94	.96	.81	.81	1.2	1.41	
YGL183C		.88	1.2	.9	.52	1.37	1.06	
YGL184C		.98	1.14	.68	.84	1.96	1.39	
YGL185C		1.27	1.14	.98	1.05	2.13	1.49	
YGL186C		1.1	1.61	1	.97	1.39	1.1	
YGL187C	COX4	1.22	1.43	1.54	1.92	4.17	4.55	
YGL188C		.67	1.06	1.2	1.22	1.28	1.75	
YGL189C	RPS26A	1.09	1.27	.88	1.06	.64	.28	
YGL190C	CDC55	.92	.94	.93	.75	2.04	1.18	
YGL191W	COX13	.95	1.02	1.02	1.85	5.56	5	
YGL192W	IME4	1.15	1.54	1.09	.94	1.82	2.17	
YGL193C		.93	1.02	.83	.99	1.22	1.54	
YGL194C		.73	.93	.88	.81	1.64	1.2	
YGL195W	GCN1	1.05	.83	.73	.78	.48	.71	
YGL196W		.94	1.12	1.08	1.06	1.61	1.12	
YGL197W		.87	.84	.74	.86	.59	1.09	
YGL198W		1.08	1.47	1.33	1.32	2.63	1.79	
YGL199C		.92	1.08	1.18	1.43	3.45	2.04	
YGL200C	EMP24	1.11	1.61	1.12	1.15	1.22	.58	
YGL201C		1.23	.97	.86	.74	.47	.75	
YGL202W		1.28	2	1.08	.94	.97	.58	
YGL203C	KEX1	1.1	1.3	.95	1.09	1.08	1.1	
YGL204C		1.04	1.01	.86	.93	.88	.72	
YGL205W	POX1	.7	1.45	.88	.62	1.23	1.41	
YGL206C	CHC1	.89	.83	.81	.87	1.12	.97	
YGL207W	CDC68	1.22	1.14	.93	.86	.98	.8	
YGL208W	SIP2	1.06	1.25	1.04	.9	1.11	.94	
YGL209W	MIG2	.96	.64	.61	.71	.68	.64	
YGL210W	YPT32	.69	.91	.83	.64	1.06	.68	
YGL211W		1	1.37	.86	.69	.84	.69	
YGL212W	VAM7	.59	1.05	.76	.94	2	1.45	
YGL213C	SKI8	.86	1.2	.79	.81	.63	1.92	
YGL214W		.87	.97	.78	.72	.65	.51	
YGL215W	CLG1	.85	.92	.45	.62	.64	.97	
YGL216W		.75	.96	.78	.77	.7	.47	
YGL217C		.81	1.01	.89	.99	1.01	1.12	
YGL218W		.86	.97	.78	.86	1.04	.9	
YGL219C		1.08	1.19	1.02	.88	1.32	1.2	
YGL220W		.8	.96	.79	.98	.86	.53	
YGL221C		1.12	1.05	1.04	1.03	1.27	.77	
YGL222C		.57	.66	.57	.61	1.59	.98	
YGL223C		1.1	1.03	.69	.71	1.16	.84	
YGL224C		.85	.94	.85	.73	.91	.62	
YGL225W	GOG5	1.28	1.72	1.08	.88	.45	.32	
YGL226W		1	.98	.85	.84	.79	.7	
YGL227W		.88	1.08	.96	.85	1.05	.81	
YGL228W		.79	1.15	1.01	.84	1.47	1.14	
YGL229C	SAP4	1.09	1.25	1.28	.93	1.37	1.37	
YGL230C		.57	.88	.81	.73	1.32	.93	
YGL231C		.93	1.35	.95	.85	1.18	.71	
YGL232W		.68	1.16	.92	.71	1.12	.69	
YGL233W	SEC15	1.27	1.2	.94	.78	1.18	1.19	
YGL234W	ADE5,7	1.19	2.22	1.35	1.39	.64	.52	
YGL235W		.94	.86	.79	.75	.85	1.06	
YGL236C		1.27	.89	.78	.79	1.28	.86	
YGL237C	HAP2	1.02	.92	.8	.85	.97	1.43	
YGL238W	CSE1	1.12	1.11	.69	.73	.58	.34	
YGL239C		.97	.89	1.16	.79	1.04	.89	
YGL240W		1.28	.88	.63	.68	1.06	.85	
YGL241W		.99	1.2	.88	.93	1.14	.8	
YGL242C		.98	1.12	.97	.91	1.04	.57	
YGL243W		1.02	1.11	.94	1.08	1.37	.88	
YGL244W		.84	1.12	.74	.7	1.14	.93	
YGL245W		1.43	1.23	.78	.84	.71	.48	
YGL246C		.74	1.15	.79	.73	.94	.86	
YGL247W		.87	.9	.71	.81	.83	.65	
YGL248W	PDE1	.72	1.25	1.03	.96	1.54	1.23	
YGL249W		.9	1.04	1.02	.76	.86	1.08	
YGL250W		.66	1.09	1.08	.77	1.72	1.59	
YGL251C	HFM1	.93	1.22	1.01	.85	1.25	1.64	
YGL252C	RTG2	.81	1.32	1.04	.92	1.35	.93	
YGL253W	HXK2	1.52	1.43	.85	1.03	.93	.45	
YGL254W	FZF1	.65	1.06	.7	.54	1.28	1.06	
YGL255W	ZRT1	1.12	1.59	.64	.83	.93	.74	
YGL256W	ADH4	.81	1.39	.76	.66	.93	.58	
YGL257C		1.1	1.23	1.03	.98	.61	.52	
YGL258W		.57	1.14	.98	.67	1.47	1.01	
YGL259W		.95	1.39	1.56	1.3	3.23	7.14	
YGL260W		.67	.93	.75	.62	.81	.63	
YGL261C		1.02	1.02	.86	.86	1.01	.91	
YGL262W		.85	.64	.65	.54	1.22	1.1	
YGL263W		.83	1.2	.92	.89	1.41	1.11	
YGR001C		1.12	.89	1.15	.71	.58	.35	
YGR002C		1.04	1.18	.9	.83	1.37	1.1	
YGR003W		.68	1.09	.71	.64	1.19	.72	
YGR004W		1.06	1.28	.81	.73	1.19	.94	
YGR005C	TFG2	.74	1.27	.86	.86	1.43	.76	
YGR006W	PRP18	.96	.87	.93	.93	1.14	1.15	
YGR007W	MUQ1	.86	1.16	1.03	.99	1.05	.71	
YGR008C	STF2	1.03	1.41	2.17	2.08	6.67	4.17	
YGR009C	SEC9	1.23	1.01	.93	.82	1.56	.94	
YGR010W		.99	.93	.88	.87	1.03	1.11	
YGR011W		1.11	1.18	.95	.88	1.15	1.08	
YGR012W		.95	.92	.88	.84	1.23	1	
YGR013W		1.64	1.15	.92	.77	1.56	.92	
YGR014W	MSB2	.98	1.09	.81	.81	.47	.81	
YGR015C		.81	.93	.8	.68	.85	.68	
YGR016W		.96	1.27	1.09	.88	1.23	1.22	
YGR017W		.97	1.01	.91	.87	.86	.71	
YGR018C		.94	1.11	1.04	1.03	1.1	.85	
YGR019W	UGA1	.9	1.16	1.22	1.22	2.5	2.44	
YGR020C	VMA7	.79	1.23	1.1	1.04	1.22	.95	
YGR021W		.68	1.02	1.08	1	1.54	1.47	
YGR022C		.96	1.1	1.03	.9	1.45	1.82	
YGR023W		1.01	1.25	1.12	.83	1.25	1.11	
YGR024C		1.19	1.23	1.01	.99	1.37	1.01	
YGR025W		.85	1.02	1.19	.92	1.08	.85	
YGR026W		1.27	1.61	1.18	1.19	1.59	.93	
YGR027C	RPS31A	1.12	1.3	1.16	1.19	.47	.28	
YGR028W	MSP1	1.25	1.47	1.33	1.49	2.33	2.17	
YGR029W	ERV1	.68	1.15	1.18	1.06	1.22	.99	
YGR030C		.92	1.15	.74	.88	1.54	1.06	
YGR031W		.68	.93	.9	.8	1.12	.97	
YGR032W	GLS2	.97	1.08	.9	.89	.6	1.39	
YGR033C		.92	1.19	.91	.94	1.32	.89	
YGR034W	RPL33B	.85	.91	.63	.74	.32	.31	
YGR035C		.86	.69	.59	.7	.9	.65	
YGR036C		1.1	1.35	.89	.81	1.3	.83	
YGR037C	ACB1	1.01	1.01	.82	.81	.84	.4	
YGR038W		1.16	1.37	1.14	.91	1.11	.9	
YGR039W		.95	1.09	.85	.75	.99	.78	
YGR040W	KSS1	1.09	1.45	.92	.77	1.14	.97	
YGR041W	BUD9	1.01	1.1	.78	.61	.98	.85	
YGR042W		1.32	1.15	.95	.7	1.64	1.39	
YGR043C		.6	.96	.93	.89	11.11	6.25	
YGR044C	RME1	1.11	1.2	1.27	1.32	2.78	1.85	
YGR045C		.66	.88	.87	.75	1.33	1.11	
YGR046W		.98	.85	.78	.84	1.85	2	
YGR047C	TFC4	.74	1.04	.96	.94	1.56	.85	
YGR048W	UFD1	.97	1.05	.83	.94	1.64	.99	
YGR049W	SCM4	.78	1	1.04	.78	1.23	.74	
YGR050C		.93	.9	.83	.94	1.11	.88	
YGR051C		.85	.93	.89	.82	1.08	.68	
YGR052W		.87	1.61	1.01	.89	2.78	2.44	
YGR053C		.65	1.14	.88	.79	1.79	1.52	
YGR054W		1.14	1.25	.56	.57	1.08	.76	
YGR055W	MUP1	1.09	1.06	.78	.63	.72	.56	
YGR056W		.83	.78	.54	.56	.55	.5	
YGR057C		.85	1.14	.85	.81	1.27	1.18	
YGR058W		.8	.88	.67	.6	.95	.92	
YGR059W	SPR3	.65	1.03	1.28	.63	1.56	1.1	
YGR060W	ERG25	1	1.3	.74	.74	.38	.33	
YGR061C	ADE6	1.11	1.03	.88	.91	.41	.38	
YGR062C		.99	.88	.71	.69	.77	.67	
YGR063C	SPT4	.98	1.01	.83	.92	.93	.64	
YGR064W		.88	1.04	.85	.85	1.02	.71	
YGR065C		.79	1.08	.8	.72	1.45	1.2	
YGR066C		.74	1.18	.81	.72	2.94	2.38	
YGR067C		.93	1.12	.79	.77	1.52	5.26	
YGR068C		.88	.85	.76	.75	1.1	1.43	
YGR069W		.89	1.19	.92	.64	.93	.87	
YGR070W	ROM1	1.04	.88	1.04	1.35	3.45	4.17	
YGR071C		1.02	1.02	.89	.75	1.3	.7	
YGR072W	UPF3	.92	1.1	.71	.88	1.05	.88	
YGR073C		.84	.96	.88	.75	1	.7	
YGR074W	SMD1	1	1.05	.74	.88	.82	.79	
YGR075C	PRP38	1.14	1.33	1.05	.99	.69	.42	
YGR076C	MRPL25	.88	1.04	.83	1.32	2.5	1.54	
YGR077C		1.01	1.41	.99	1.08	1.67	1.2	
YGR078C	PAC10	.9	.93	.67	.85	.89	.61	
YGR079W		.9	.65	.74	.49	.74	.52	
YGR080W		.74	.81	.73	.96	1.54	.83	
YGR081C		.92	1.11	.71	.74	.81	.55	
YGR082W	TOM20	1.14	1.25	.8	1.1	.81	.75	
YGR083C	GCD2	1	1.15	.62	.7	.78	.4	
YGR084C	MRP13	.99	1.12	.91	.93	1.32	.86	
YGR085C	RPL16B	1.11	1.32	.96	.89	.53	.22	
YGR086C		.98	.76	.95	1	1.49	2.04	
YGR087C	PDC6	1.14	1.25	.78	.83	.56	.47	
YGR088W	CTT1	1.04	1.16	1.67	1.96	12.5	7.69	
YGR089W		.87	1.01	.82	.83	.78	.62	
YGR090W		.96	1.22	.62	.76	.35	.96	
YGR091W	PRP31	.92	1.3	.84	.8	.91	.56	
YGR092W	DBF2	.99	1.06	.64	.6	.42	.7	
YGR093W		.88	1.15	.78	.71	1.28	.72	
YGR094W	VAS1	1.18	.99	.6	.72	.24	.81	
YGR095C		.88	.82	.74	.65	.58	.37	
YGR096W		.89	1.03	.73	.85	.82	1.49	
YGR097W	ASK10	.93	.92	.77	.65	.87	.78	
YGR098C	ESP1	.89	.96	.76	.81	.75	.81	
YGR099W	TEL2	.78	1.01	.92	.86	.96	.76	
YGR100W	MIC1	1.08	1.08	1.02	1.18	1.2	1.39	
YGR101W		.87	.95	.92	.85	1.2	1.1	
YGR102C		.85	.95	.8	1.02	2.7	1.79	
YGR103W		.96	1.25	.53	.47	.32	.17	
YGR104C	SRB5	1.02	.94	.78	.86	.85	.91	
YGR105W	VMA21	.91	1.05	.94	1.03	.78	.68	
YGR106C		1.32	1.89	1.41	1.3	.93	.7	
YGR107W		.79	.92	.85	.84	.99	.64	
YGR108W	CLB1	1.08	1.54	1.72	1.09	.54	.69	
YGR109C	CLB6	.74	.86	.72	.6	1.12	.71	
YGR110W		1.05	1.41	.96	.77	2.13	4.35	
YGR111W		.86	1.27	1.45	1.27	2.17	1.25	
YGR112W		1.11	1.41	1	.64	1.43	1.15	
YGR113W		.79	1.03	.85	.85	1.05	.68	
YGR114C		.93	1.05	1.04	.94	1	.85	
YGR115C		.89	1.09	1.05	.92	1.23	.7	
YGR116W	SPT6	1	1.11	1.01	.86	.79	.7	
YGR117C		.87	1.04	.77	.76	.89	.81	
YGR118W	RPS28A	1.3	1.32	1.14	1.22	.47	.33	
YGR119C	NUP57	1.18	1.16	.79	.93	.9	.66	
YGR120C		1.1	.99	.92	1.05	1.32	1	
YGR121C	MEP1	.93	.95	.64	.68	.82	.78	
YGR122W		1.05	1.33	.89	.94	1.54	1.16	
YGR123C	PPT1	.89	.98	.57	.63	.48	.3	
YGR124W	ASN2	1.59	1.47	.78	.7	.39	.32	
YGR125W		.86	1.14	1.18	1.3	1.18	.93	
YGR126W		.85	.87	.76	.75	1.2	.88	
YGR127W		.75	.93	.84	.8	2.08	1.33	
YGR128C		1.2	1.3	.57	.59	.54	.36	
YGR129W		.69	1.08	.92	.85	1.67	1.1	
YGR130C		1.11	1.19	1.23	1.06	2.78	2.08	
YGR131W		.63	.97	1.02	.75	1.25	.88	
YGR132C	PHB1	1.12	1.43	1.28	1	2.5	1.56	
YGR133W	PAS2	.79	1	.98	.75	1.05	1.11	
YGR134W		1.18	1.16	.87	.74	1.01	.79	
YGR135W	PRE9	.96	1.37	1.15	.99	1.49	.89	
YGR136W		1.09	1.18	.96	.76	1.47	.92	
YGR137W		.8	1.06	1.09	.97	1.82	1.16	
YGR138C		1.43	4.17	2.78	1.69	1.49	2.56	
YGR139W		.83	1.89	1.59	1.08	1.1	1.56	
YGR140W	CBF2	.8	1.03	.95	.75	.66	.81	
YGR141W		.72	1.02	.86	.95	1.22	1.19	
YGR142W		.95	1.11	1.11	1.28	2.63	4	
YGR143W	SKN1	1.02	1.18	.97	1.09	1.25	1.08	
YGR144W	MOL1	.95	1.06	.83	.85	1.32	.99	
YGR145W		.85	1.19	.53	.47	.31	.22	
YGR146C		1.09	.9	.56	.68	2.78	3.45	
YGR147C	NAT2	.99	1.16	1.03	.89	1.43	.91	
YGR148C	RPL30B	1.08	1.04	.82	.83	.28	.16	
YGR149W		.97	1.49	1.45	1.23	2.08	2.22	
YGR150C		.98	.95	.9	.86	.81	.89	
YGR151C		1.16	.96	.83	.81	.72	.43	
YGR152C	RSR1	1.14	1.41	.84	.91	1.12	.55	
YGR153W		.69	.95	.83	.65	1.3	1.14	
YGR154C		.92	1.12	.91	.76	1.3	1.11	
YGR155W	CYS4	1.12	1	.65	.51	.45	.22	
YGR156W		.83	1.22	.86	.81	1.11	.93	
YGR157W	CHO2	.99	1.27	1.16	.96	.75	1.09	
YGR158C	MTR3	.93	1.19	.79	.76	.72	.54	
YGR159C	NSR1	1.05	1.09	.48	.47	.5	.25	
YGR160W		1.08	.84	.36	.36	.18	.11	
YGR161C		.96	.52	.62	.64	1.61	1.49	
YGR162W	TIF4631	1.27	1.23	.72	.67	.49	.34	
YGR163W		.74	1.12	.92	.79	1.25	.75	
YGR164W		.68	.7	.7	.67	.83	.75	
YGR165W		1.19	1.22	1.09	1.05	1.72	.95	
YGR166W	KRE11	1.22	1.18	.84	.9	1.19	.94	
YGR167W	CLC1	1.05	1.04	1.18	1.27	1.85	1.35	
YGR168C		1.08	1.33	.98	1	1.49	1.2	
YGR169C		.82	1.18	.85	.83	1.25	.87	
YGR170W	PSD2	1.04	1.12	1.01	.91	1.22	1.1	
YGR171C	MSM1	.7	1.01	.88	.79	1.41	.99	
YGR172C	YIP1	1.23	1.47	1.23	1.04	1.32	.76	
YGR173W		.93	1.23	.96	.7	.79	.41	
YGR174C	CBP4	.88	1.08	1.25	1.37	4.55	3.57	
YGR175C	ERG1	1.33	1.79	1.04	1.05	.75	.49	
YGR176W		.92	.89	.69	.68	.56	.54	
YGR177C	ATF2	1.39	1.14	.53	.46	1.02	.38	
YGR178C		.98	1.18	.84	.88	1.47	.98	
YGR179C		1.52	1.28	1.1	.78	1.72	.77	
YGR180C	RNR4	1.2	1.49	.97	1.06	1.69	.86	
YGR181W		.88	1.11	.93	.84	1.01	.67	
YGR182C		.83	1.19	1.19	1.25	1.69	2.33	
YGR183C	QCR9	1.05	1.1	1	1.1	1.49	1.47	
YGR184C	UBR1	.93	.83	.79	.81	.72	.93	
YGR185C	TYS1	.85	1.1	.67	.63	.67	.33	
YGR186W	TFG1	1.05	1.14	.81	.88	1.45	1.22	
YGR187C	HGH1	.86	1.35	.6	.6	.85	.36	
YGR188C	BUB1	.84	1.19	.85	.75	1.18	.97	
YGR189C		1.18	1.43	.9	.96	.7	.69	
YGR190C		1.27	1.41	.94	.85	.94	.77	
YGR191W	HIP1	1.25	1.64	1.03	1	.96	.52	
YGR192C	TDH3	1.06	1.41	1.19	1.14	1.02	.7	
YGR193C	PDX1	.97	1.25	.97	.92	1.43	1.11	
YGR194C		1.03	1.23	1.49	1.45	2.78	2.38	
YGR195W		.99	1.18	.89	.82	1.15	.62	
YGR196C		1.11	1.28	.95	1.06	1.52	1.79	
YGR197C	SNG1	.98	1.11	.85	.81	1.23	.93	
YGR198W		1.23	1.04	.71	.7	.89	.65	
YGR199W		1.1	1.54	1.2	1.2	.97	.76	
YGR200C		1.35	1.45	.85	.75	.85	.54	
YGR201C		.79	1.79	1.12	.93	3.7	3.13	
YGR202C	PCT1	.97	.9	.87	.85	1.16	.77	
YGR203W		.81	1.01	.83	.83	.95	.78	
YGR204W	ADE3	1.37	1.37	.94	1.09	.93	.6	
YGR205W		.76	.92	.83	.82	1.82	1.2	
YGR206W		1.02	1	.94	.89	1.52	.94	
YGR207C	ETF-BETA	.92	1.3	1.1	1.11	1.85	.97	
YGR208W	SER2	1.3	1.67	.96	.82	.8	.76	
YGR209C	TRX2	1.03	1.79	1.28	1.39	2.27	1.19	
YGR210C		1.15	1.22	.93	.85	.87	.78	
YGR211W		.93	1.19	.66	.68	1.18	.83	
YGR212W		.93	1.23	.92	.72	1.37	1.25	
YGR213c	RTA1	.83	1.15	.87	.79	1.41	.97	
YGR214W	NAB1A	1.11	1.37	.78	.82	.31	.18	
YGR215W		.97	1.09	1.11	1.2	1.64	.94	
YGR216C		1.25	1.96	1.09	1.19	1.47	1.15	
YGR217W		.92	1.01	.92	.99	.94	.9	
YGR218W	CRM1	1.41	.97	.67	.74	.63	.83	
YGR219W		.83	.95	1.1	1.11	1.75	1.18	
YGR220C	MRPL9	1.16	1.49	1.06	1.19	1.89	1.39	
YGR221C		.99	1.06	.81	.72	1.49	.83	
YGR222W	PET54	1.02	1.47	1.11	1.19	1.82	1.41	
YGR223C		.74	1.12	1.28	.88	1.67	1.14	
YGR224W		1.09	1.32	.81	.9	1.41	1.92	
YGR225W		.55	1.82	.9	.77	1.79	1.05	
YGR226C		.83	1.25	.93	.69	1.56	1.19	
YGR227W	DIE2	.85	1.56	.81	.82	1.14	1.15	
YGR228W		1.16	1.2	1	1.01	.78	.47	
YGR229C	KNR4	1.11	1.33	.9	.93	1.04	.49	
YGR230W		1.27	1.18	1.1	1.08	1.49	1.49	
YGR231C		1.02	1.49	1.02	.85	2.56	1.61	
YGR232W		1.01	1.43	1.12	1.12	1.82	1.45	
YGR233C	PHO81	1	1.41	.68	.76	.59	.61	
YGR234W	YHB1	1.37	1.27	.64	.69	.41	.7	
YGR235C		.92	1	.69	.78	1.52	.88	
YGR236C		.88	.81	.71	.64	11.11	7.14	
YGR237C		.81	1.3	1.09	1.02	1.85	1.52	
YGR238C		.95	1.08	.91	.96	2.17	2.17	
YGR239C		.95	1.18	.9	.75	1.3	1.19	
YGR240C	PFK1	1.45	1.35	.88	.9	.52	.58	
YGR241C		.97	.91	.79	.75	1.43	.71	
YGR242W		.83	.69	.63	.77	.65	.83	
YGR243W		.83	.77	.87	.75	9.09	5.56	
YGR244C		1.2	1.69	1.92	2.78	5.26	4.17	
YGR245C		1.09	1.01	.49	.45	.35	.33	
YGR246C	BRF1	1.08	1.33	.95	1.12	1.45	1.25	
YGR247W		.74	1.18	.88	.83	1.92	1.32	
YGR248W		.76	1.35	1.59	2.63	16.67	5.56	
YGR249W	MGA1	.78	1.23	.86	.78	1.37	1.16	
YGR250C		1.11	1.52	1.33	1.82	2.86	3.85	
YGR251W		.96	1.19	.62	.78	.86	.68	
YGR252W	GCN5	1.14	1.37	1.04	1.12	1.1	1.03	
YGR253C	PUP2	1.18	1.25	.88	.94	2.22	1.23	
YGR254W	ENO1	1.06	1.04	.98	.77	1.14	.84	
YGR255C		.98	1.54	1.03	.71	1.89	1.14	
YGR256W		1.12	1.28	.66	.95	3.33	2.7	
YGR257C		.83	.93	.8	.97	1.11	.96	
YGR258C	RAD2	.95	1.2	1.06	.91	1.89	1.61	
YGR259C		.86	1.04	1.14	1.22	.79	.45	
YGR260W		1.3	1.89	1.33	1.09	1.16	.67	
YGR261C	YKS5	1.06	1.05	.83	.85	.89	.53	
YGR262C		.87	1.08	.8	1.08	.83	.83	
YGR263C		1.02	1.35	1.1	.82	1.49	.92	
YGR264C	MES1	1.35	1	.61	.57	.17	.24	
YGR265W		1.04	.74	.58	.54	.68	.33	
YGR266W		.86	1.18	.93	1.02	1.23	1.33	
YGR267C	FOL2	1.05	1.08	.8	.95	1.2	.85	
YGR268C		.95	.91	.62	.99	1.37	.94	
YGR269W		.81	.88	.61	.78	.87	.85	
YGR270W	YTA7	.91	.85	.94	.93	.78	.91	
YGR271W		.79	.85	.75	.83	.71	.63	
YGR272C		1.05	1.15	.7	.76	.94	.65	
YGR273C		.61	.86	.79	.7	1.06	.83	
YGR274C	TAF145	.99	.94	.91	.83	1.09	.93	
YGR275W		.81	1.02	.91	.84	.94	.53	
YGR276C		1.11	1.3	.95	.93	1.06	1.61	
YGR277C		.72	1.02	1.08	.94	1.25	.65	
YGR278W		.87	1.23	1	.91	1.25	.86	
YGR279C		1.14	2.04	1.89	1.72	1.32	.58	
YGR280C		1.06	.98	.47	.58	.5	.28	
YGR281W	YOR1	.91	.96	.92	1.01	.94	.81	
YGR282C	BGL2	1.43	1.52	1.56	1.43	2.33	1.12	
YGR283C		.76	1.02	.69	.65	.96	.66	
YGR284C		1.11	1.2	1.06	.85	1.01	.89	
YGR285C	ZUO1	.94	1.1	.62	.88	.41	.26	
YGR286C	BIO2	1	1.04	.75	.78	1.47	.71	
YGR287C		.82	1.02	.78	.81	1.2	.88	
YGR288W	MAL13	.96	1.39	.88	.87	1.56	1.45	
YGR289C	AGT1	.78	.98	.7	.75	2.86	2	
YGR290W		.88	.98	.84	.8	1.47	1.47	
YGR291C		.85	.83	.81	.83	.83	.62	
YGR292W	MAL12	1.01	.92	.85	.78	.73	.79	
YGR293C		.68	.75	.65	.6	.61	.42	
YGR294W		1.06	1.1	1.08	.93	1.05	.82	
YGR295C		1.06	1.3	1.43	1.56	1.59	.85	
YGR296W		.95	.95	.85	.74	.65	.71	
YHL001W	RPL14B	.93	1.16	1.09	.87	.35	.26	
YHL002W		1.1	1.28	.84	1.06	1.75	1.35	
YHL003C	LAG1	1.01	1.35	1.18	1.18	.86	.57	
YHL004W	MRP4	1.1	.99	.7	.72	.82	.71	
YHL005C		.86	.97	.84	.78	.75	.64	
YHL006C		.88	.98	.77	.85	.83	.84	
YHL007C	STE20	.79	1.06	.72	.61	.92	.62	
YHL008C		.93	1	.68	.78	1.45	1.2	
YHL009C		.81	1.41	1.04	.76	1.52	1.09	
YHL010C		.81	1.08	.91	.79	1.89	1.69	
YHL011C	PRPS3	1.01	1.25	.69	.61	.45	.51	
YHL012W		.93	1.04	.52	.59	1.03	.65	
YHL013C		.88	.96	.79	.6	.63	.41	
YHL014C	YLF1	.98	1.25	.87	.73	1.37	.87	
YHL015W	URP2	1.25	1.08	.94	.88	.29	.14	
YHL016C	DUR3	.93	1.16	.57	.65	1.47	1.37	
YHL017W		1.04	1.32	.92	.93	1.27	.57	
YHL018W		.98	.93	.78	.73	.66	.81	
YHL019C	APM2	1.25	1.08	.92	.85	1.33	.83	
YHL020C	OPI1	1.01	1.2	.96	.83	1.56	1.41	
YHL021C		1.09	1.56	2	1.72	7.69	5.56	
YHL022C	SPO11	.88	1.14	.97	.96	1.72	1.28	
YHL023C		1.08	.93	.84	.86	1.33	1.82	
YHL024W		.98	1.33	1.09	1.08	2.08	2.7	
YHL025W	SNF6	.68	1.09	.83	.68	1.39	1.14	
YHL026C		1.3	1.1	.64	.75	.88	.86	
YHL027W	(RIM1)	1.04	1.08	.85	.7	1.16	1	
YHL028W		1.05	2.27	1.79	1.16	1.67	1.33	
YHL029C		.9	1.03	.55	.51	.9	.72	
YHL030W		1.12	.96	.92	.9	.79	.86	
YHL031C		1.33	1.15	.89	.78	1.52	1.02	
YHL032C	GUT1	.93	1.18	.87	.9	2.04	2.94	
YHL033C	RPL4A	1.16	1.14	.88	.7	.34	.18	
YHL034C	SBP1	1.14	1.56	.86	1	1.89	.96	
